Destination;Country;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_EPI_Score;Cuisine_Rank;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;CostofLivingIndex;RentIndex;CostofLivingPlusRentIndex;GroceriesIndex;RestaurantPriceIndex;LocalPurchasingPowerIndex;Latitude;Longitude;Popularity_TripAdvisor_Count
Azores;Portugal;0.874;81.5;36831.0;2.4;32.4;67.6;6.384;605;6;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;;82;185;354;Portuguese;24083;51.5;39.5;46.3;47.9;50.7;59.3;37.7412;-25.6756;24083
Madeira;Portugal;0.874;81.5;36831.0;2.4;32.4;67.6;6.384;605;6;cool;cool;cool;comfortable;comfortable;comfortable;warm;warm;comfortable;comfortable;cool;cool;;56;133;285;Portuguese;74532;51.5;39.5;46.3;47.9;50.7;59.3;32.7607;-16.9595;74532
Porto;Portugal;0.874;81.5;36831.0;2.4;32.4;67.6;6.384;605;6;cool;cool;cool;comfortable;comfortable;warm;warm;warm;comfortable;comfortable;cool;cool;2300.0;77;184;445;Portuguese;135142;46.4;28.8;38.8;44.0;42.6;69.5;41.1579;-8.6291;135142
Lisbon;Portugal;0.874;81.5;36831.0;2.4;32.4;67.6;6.384;605;6;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;2500.0;84;192;447;Portuguese;321760;51.5;39.5;46.3;47.9;50.7;59.3;38.7223;-9.1393;321760
Romania;Romania;0.827;74.2;32159.0;5.66;32.6;67.4;5.379;593;17;very cold;cold;cool;cool;comfortable;warm;hot;warm;warm;cool;cold;very cold;1100.0;53;121;283;Romanian;56591;43.7;16.1;31.7;40.5;49.2;85.5;45.9432;24.9668;56591
Serbia;Serbia;0.805;74.0;20380.0;4.6;37.2;62.8;7.39;568;34;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;1050.0;30;92;203;Serbian;30148;43.8;20.0;33.4;40.7;44.8;67.0;44.0165;21.0059;30148
Bratislava;Slovakia;0.871;74.8;33594.0;4.3;31.0;69.0;5.234;584;49;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550.0;78;176;377;Slovak;41747;51.1;21.2;38.1;49.8;45.1;84.8;48.1486;17.1077;41747
Slovenia;Slovenia;0.926;81.6;41617.0;2.2;24.4;75.6;3.357;607;40;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;900.0;53;125;263;Slovenian;74814;53.0;26.3;41.4;49.5;53.5;88.1;46.1512;14.9955;74814
Madrid;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;2300.0;73;186;481;Spanish;348324;55.8;36.5;47.4;52.2;56.7;128.8;40.4168;-3.7038;348324
Barcelona;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;1900.0;82;213;574;Spanish;685314;57.0;37.0;48.3;55.6;57.4;88.4;41.3851;2.1734;685314
Andalusia;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;cool;cool;comfortable;warm;warm;hot;sweltering;sweltering;hot;warm;cool;cool;2900.0;64;174;523;Spanish;253566;47.0;21.4;35.9;47.3;42.9;67.8;37.7667;-4.4333;253566
Basque Country;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;comfortable;cool;cold;2000.0;82;193;404;Spanish;82187;55.8;36.5;47.4;52.2;56.7;128.8;43.263;-2.935;82187
Canary Islands;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;comfortable;comfortable;comfortable;comfortable;warm;warm;warm;warm;warm;comfortable;comfortable;comfortable;;75;172;329;Spanish;165030;55.1;29.1;43.8;61.8;63.4;101.9;28.2916;-16.6291;165030
Balearic Islands;Spain;0.911;83.2;41208.0;2.3;37.2;62.8;11.394;538;4;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;180;396;771;Spanish;113408;55.1;29.1;43.8;61.8;63.4;101.9;39.6953;3.0176;113408
Stockholm;Sweden;0.952;83.0;55935.0;0.7;48.1;51.9;8.528;608;66;cold;very cold;cold;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;very cold;1100.0;91;222;516;Swedish;128505;72.1;35.3;56.1;67.0;72.4;122.8;59.3293;18.0686;128505
Zurich;Switzerland;0.967;84.3;72370.0;0.1;26.7;73.3;4.11;550;45;very cold;cold;cool;cool;comfortable;comfortable;warm;warm;comfortable;cool;cool;very cold;1100.0;153;354;787;German;40270;112.5;68.1;93.2;113.9;110.4;167.3;47.3769;8.5417;40270
Lucerne & Central Switzerland;Switzerland;0.967;84.3;72370.0;0.1;26.7;73.3;4.11;550;45;very cold;cold;cool;cool;comfortable;comfortable;warm;warm;comfortable;cool;cool;very cold;1100.0;122;293;652;German;44893;110.5;48.3;83.4;110.7;111.3;180.4;47.0502;8.3093;44893
Bernese Alps;Switzerland;0.967;84.3;72370.0;0.1;26.7;73.3;4.11;550;45;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1200.0;135;309;604;German;20075;103.4;43.2;77.2;106.0;91.1;186.8;46.5499;7.9405;20075
Geneva;Switzerland;0.967;84.3;72370.0;0.1;26.7;73.3;4.11;550;45;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1400.0;118;280;606;French;34717;111.4;63.7;90.6;113.8;113.4;171.0;46.2044;6.1432;34717
