Destination;Country;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;Cost of Living Index;Rent Index;Cost of Living Plus Rent Index;Groceries Index;Restaurant Price Index;Local Purchasing Power Index;Latitude;Longitude
Provence-Alpes-Côte d'Azur;France;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1900;87;220;570;French;113771;70.2;23.8;50;77.8;62.3;118;43.9356;6.0679
Rhodes;Greece;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;NaN;85;193;369;Greek;87246;53.7;16.8;37.6;51.4;56;62.6;36.4349;28.2178
Riga;Latvia;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;800;55;138;347;Latvian;43719;51.4;13.6;25.9;31.9;30;54.3;56.9496;24.1052
Romania;Romania;very cold;cold;cool;cool;comfortable;warm;hot;warm;warm;cool;cold;very cold;1100;53;121;283;Romanian;56591;43.7;16.1;31.7;40.5;49.2;85.5;45.9432;24.9668
Rome;Italy;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1450;91;238;645;Italian;598037;56.7;31.6;45.8;57.6;55.2;88;41.9028;12.4964
Salzburg Region;Austria;very cold;very cold;cold;cool;comfortable;comfortable;warm;warm;comfortable;cool;cold;very cold;950;77;185;417;German;63816;68.1;29.8;51.4;68.4;65.6;130.7;47.8095;13.055
Santorini;Greece;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;NaN;117;288;674;Greek;65597;53.7;16.8;37.6;51.4;56;62.6;36.3932;25.4615
Sardinia;Italy;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;NaN;73;167;319;Italian;53516;57.8;19.8;42.8;64.5;59.5;96.1;40.1209;9.0129
Saxony;Germany;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550;76;179;381;German;42751;63.3;20.4;44.6;61.4;62.5;148.3;51.1045;13.2017
Serbia;Serbia;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;1050;30;92;203;Serbian;30148;43.8;20;33.4;40.7;44.8;67;44.0165;21.0059
Sicily;Italy;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;NaN;59;140;295;Italian;136035;47.9;12.6;32.5;45.4;53.3;121.4;37.5999;14.0154
Slovenia;Slovenia;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;900;53;125;263;Slovenian;74814;53;26.3;41.4;49.5;53.5;88.1;46.1512;14.9955
South Bohemia;Czechia;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;550;36;85;185;Czech;15385;51.9;28.9;41.9;55.9;53.5;88.1;49.0335;14.4754
South Holland;Netherlands;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1050;93;217;440;Dutch;73712;69.9;32.1;53.4;62.7;74.1;123.2;51.9244;4.4777
Stockholm;Sweden;cold;very cold;cold;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;very cold;1100;91;222;516;Swedish;128505;72.1;35.3;56.1;67;72.4;122.8;59.3293;18.0686
Swiss Alps & Graubünden;Switzerland;freezing;very cold;cold;cool;cool;cool;cool;cool;cool;cold;very cold;freezing;1150;131;300;572;French;41220;112.5;68.1;93.2;113.9;110.4;167.3;46.6656;9.6332
Tallinn;Estonia;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100;53;138;372;Estonian;51134;60.5;19.8;42.8;64.5;59.5;96.1;59.437;24.7536
Thessaloniki;Greece;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1600;82;187;358;Greek;22386;50.7;13.2;34.4;48;40.3;67.5;40.6401;22.9444
Thessaly;Greece;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1700;80;187;388;Greek;15113;50.7;13.2;34.4;48;40.3;67.5;39.6109;22.4206
Tuscany;Italy;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1300;87;207;501;Italian;343046;62.6;28.6;47.8;61.7;67.7;85;43.7711;11.2486
Tyrol;Austria;very cold;cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100;69;175;442;German;35420;72.3;44.3;60.1;61;72.6;127.5;47.2692;11.4041
Venice;Italy;cold;cold;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1100;124;318;828;Italian;224754;61.9;21.4;35.9;47.3;42.9;67.8;45.4408;12.3155
Vienna;Austria;very cold;very cold;cold;cool;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;700;67;176;472;German;235373;68.1;29.8;51.4;68.4;65.6;130.7;48.2082;16.3738
Wales;United Kingdom;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1600;95;241;623;English;95086;68.2;39.7;55.8;68.6;68.5;83.8;52.1307;-3.7837
Warsaw;Poland;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;150;45;125;374;Polish;69649;49.5;27.8;40.1;43;46.6;103.9;52.2297;21.0122
West Midlands;United Kingdom;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1550;94;217;444;English;66553;61.7;31.2;48.4;56.6;64.6;124.7;52.4862;-1.8904
Zagreb;Croatia;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;850;41;101;218;Croatian;26448;48.5;20.1;36.1;46.5;47.6;104.6;45.815;15.9819
Zurich;Switzerland;very cold;cold;cool;cool;comfortable;comfortable;warm;warm;comfortable;cool;cool;very cold;1100;153;354;787;German;40270;112.5;68.1;93.2;113.9;110.4;167.3;47.3769;8.5417
